MMDD MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH AVGW MW DIR MIN PSBL S-S WX    SPD DR2
0423  75  50  63  12   2   0 0.16  0.0    0  5.4 15 170   M    M   6        21 180
0424  61  42  52   1  13   0 0.00  0.0    0 14.8 24 290   M    M   8        33 300
0425  66  38  52   0  13   0 0.00  0.0    0  3.9 15 170   M    M   6        21 170
0426  61  49  55   3  10   0 0.64  0.0    0 10.3 23 270   M    M  10 1      30 270
0427  50  40  45  -7  20   0 0.22  0.0    0 17.2 31 270   M    M   9        41 290
0428  51  40  46  -7  19   0 0.01  0.0    0  7.0 21 290   M    M   8        27 280
0429  58  31  45  -8  20   0 0.01  0.0    0  3.4 14 320   M    M   5        18 330
0430  51  38  45  -8  20   0 0.06  0.0    0  2.7 14 160   M    M   8 18     19 150
0501  56  42  49  -5  16   0 0.03  0.0    0  6.3 21 170   M    M  10 3      29 180
0502  65  50  58   4   7   0 0.07  0.0    0  4.6 15 170   M    M  10 1      21 160
0503  62  49  56   2   9   0 0.21  0.0    0 10.3 22 180   M    M  10 18     28 180
0504  67  52  60   5   5   0 0.08  0.0    0  4.6 12  20   M    M   9 18     15  20
0505  58  52  55   0  10   0 0.22  0.0    0  3.0 12  10   M    M  10 1      15  10
0506  74  53  64   9   1   0    T  0.0    0  3.5 16 180   M    M   7 1      23 180
0507  66  49  58   2   7   0 0.02  0.0    0  9.0 17 190   M    M   7        23 160
0508  67  44  56   0   9   0 0.00  0.0    0  7.0 17  40   M    M   4        22  10
0509  66  40  53  -3  12   0    T  0.0    0  9.9 26 180   M    M   8        38 160
0510  69  52  61   5   4   0 0.23  0.0    0 14.7 28 160   M    M   8 1      38 170
0511  65  47  56  -1   9   0 0.00  0.0    0 10.6 21 290   M    M   7        29 320
0512  51  43  47 -10  18   0 0.43  0.0    0  4.0 15  40   M    M  10        18  50
0513  54  42  48  -9  17   0 0.57  0.0    0  3.0 10 230   M    M  10 18     13 110
0514  48  40  44 -14  21   0 0.17  0.0    0  3.2  7 320   M    M  10         9 320
0515  65  43  54  -4  11   0 0.01  0.0    0  6.3 15 260   M    M   8 1      21 300
0516  69  48  59   1   6   0 0.00  0.0    0  7.6 20 300   M    M   7        25 300
0517  73  52  63   4   2   0 0.09  0.0    0  8.9 24 280   M    M   8        32 270
0518  73  46  60   1   5   0 0.00  0.0    0  6.0 14 310   M    M   5        19 270
0519  86  49  68   9   0   3 0.14  0.0    0 10.6 28 170   M    M   7 1      37 160
0520  83  56  70  11   0   5 0.18  0.0    0 12.7 30 310   M    M   9 13     37 300
0521  67  50  59  -1   6   0 0.00  0.0    0 14.8 26 280   M    M   6        37 290
0522  71  45  58  -2   7   0    T  0.0    0  4.6 15  20   M    M   5        20 350
0523  72  56  64   4   1   0 0.34  0.0    0 11.0 24 340   M    M   7 3      32 310
0524  70  52  61   0   4   0 0.00  0.0    0 13.5 26 300   M    M   7        38 300
0525  73  46  60  -1   5   0 0.01  0.0    0  8.7 22 180   M    M   6 18     31 170
0526  86  57  72  11   0   7    T  0.0    0  9.8 21 290   M    M   7        31 320
0527  81  55  68   6   0   3 0.00  0.0    0  6.7 21 300   M    M   4        29 300
0528  57  50  54  -8  11   0 0.26  0.0    0  5.4 13 150   M    M  10 18     18 150
0529  64  49  57  -5   8   0    T  0.0    0  3.9  9 350   M    M   9 1      12 350
0530  72  59  66   4   0   1 0.02  0.0    0  7.5 15 220   M    M   9 1      18 180
0531  76  55  66   3   0   1 0.00  0.0    0  6.1 18 300   M    M   8 1      26 300
0601  81  49  65   2   0   0 0.01  0.0    0  7.0 17 220   M    M   6 3      23 220
0602  76  49  63   0   2   0 0.07  0.0    0  6.5 25 290   M    M   8 13     32 300
0603  65  44  55  -9  10   0 0.00  0.0    0 11.0 28 290   M    M   3        36 300
0604  70  47  59  -5   6   0 0.01  0.0    0  6.6 20 320   M    M   5        25 270
0605  83  55  69   5   0   4 0.69  0.0    0  6.7 17 190   M    M   8 13     21 190
0606  76  61  69   4   0   4 0.55  0.0    0  3.4 15  40   M    M   7 1      20  30
0607  82  53  68   3   0   3 0.00  0.0    0  3.7 14 290   M    M   3        18 290
0608  80  53  67   2   0   2 0.00  0.0    0  4.9 15  20   M    M   2        18  50
0609  83  49  66   0   0   1 0.00  0.0    0  6.5 17 190   M    M   4        22 180
0610  81  53  67   1   0   2 0.78  0.0    0  5.4 16 150   M    M   8 1      23 160
0611  73  58  66   0   0   1 0.63  0.0    0 14.8 26 280   M    M   7 1      36 320
0612  77  50  64  -2   1   0 0.00  0.0    0  6.7 17 170   M    M   4        23 160
0613  65  57  61  -6   4   0 0.06  0.0    0  6.6 13 130   M    M  10        20 160
0614  68  53  61  -6   4   0    T  0.0    0 10.3 30 280   M    M   7        37 270
0615  81  54  68   1   0   3 0.01  0.0    0  7.8 20 170   M    M   8        29 170
0616  68  63  66  -2   0   1 0.75  0.0    0  4.6 12 170   M    M   9 1      14 170
0617  80  61  71   3   0   6 0.00  0.0    0  4.6 12 350   M    M   7        14 120
0618  75  60  68   0   0   3 0.07  0.0    0  1.6 10 350   M    M   9        12 350
0619  79  66  73   5   0   8    T  0.0    0  8.3 16 180   M    M   9 1      21 180
0620  79  66  73   4   0   8 0.12  0.0    0  8.8 18 180   M    M   9        28 180
0621  78  59  69   0   0   4 0.26  0.0    0  9.2 18 330   M    M   8 18     26 320
0622  80  55  68  -1   0   3    T  0.0    0 10.1 24 340   M    M   6        33 330
0623  84  55  70   1   0   5 0.00  0.0    0  9.9 23 270   M    M   3        29 280
0624  85  56  71   1   0   6 0.00  0.0    0  2.9 12 200   M    M   6        13 210
0625  86  68  77   7   0  12 0.89  0.0    0  5.9 17 340   M    M   8 1      21 180
0626  87  61  74   4   0   9 0.05  0.0    0  3.3 17 260   M    M   4 3      23 250
0627  87  63  75   5   0  10 0.00  0.0    0  6.1 17 290   M    M   3 1      23 290
0628  91  60  76   6   0  11    T  0.0    0  3.2 14 290   M    M   6        21 300
0629  87  70  79   9   0  14    T  0.0    0  6.0 18 280   M    M   5        22 300
0630  81  64  73   2   0   8 0.20  0.0    0  7.4 21  30   M    M   7 13     27  30
0701  85  60  73   2   0   8 0.00  0.0    0  7.3 17 260   M    M   3        22 250
0702  84  65  75   4   0  10    T  0.0    0  4.5 16  30   M    M   8        23  30
0703  90  63  77   6   0  12 0.00  0.0    0  1.6  8  40   M    M   3 1      11  50
0704  91  66  79   8   0  14 0.00  0.0    0  3.0 13 170   M    M   5 1      17 160
0705  92  69  81  10   0  16 0.00  0.0    0  9.5 17 190   M    M   4        24 190
0706  92  73  83  11   0  18 0.50  0.0    0  6.6 25 310   M    M   7 13     34 310
0707  81  64  73   1   0   8 0.00  0.0    0  6.8 14 210   M    M   6        20  10
0708  85  57  71  -1   0   6 0.00  0.0    0  3.8  9  30   M    M   2        12  20
0709  86  59  73   1   0   8 0.00  0.0    0  1.7 10 220   M    M   4        14 220
0710  89  60  75   3   0  10 0.00  0.0    0  2.3  9 140   M    M   4         M  M
0711  86  71  79   7   0  14 0.01  0.0    0  9.4 21 180   M    M   8        27 180
0712  81  69  75   3   0  10 0.00  0.0    0  9.9 22 270   M    M   7        28 300
0713  88  65  77   5   0  12 0.00  0.0    0  5.4 13 270   M    M   4        20 250
